Cimone comune,Cimone comune.1
,
"Cimone – VedutaScorcio di Covelo, sede municipale del comune","Cimone – VedutaScorcio di Covelo, sede municipale del comune"
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Andrea Lazzaroni (Commissario Straordinario) dal 5-5-2025
Territorio,Territorio
Coordinate,45°58′44.47″N 11°04′11.64″E
Altitudine,540 m s.l.m.
Superficie,"9,81 km²"
Abitanti,738[1] (30-11-2025)
Densità,"75,23 ab./km²"
Frazioni,"Covelo (sede comunale), Petrolli, Cimoneri, Pietra, Costa, Gazi, Buzzi, Finestrella, Frizzi, Battistoni, Pifferi"
Comuni confinanti,"Aldeno, Cavedine, Garniga Terme, Pomarolo, Trento, Villa Lagarina"
Altre informazioni,Altre informazioni
Cod. postale,38060
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022058
Cod. catastale,C700
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 218 GG[3]"
Nome abitanti,cimoneri (zimonèri)
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Cimone,Cimone
Cimone – MappaPosizione del comune di Cimone nella provincia autonoma di Trento,Cimone – MappaPosizione del comune di Cimone nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
