Castello-Molina di Fiemme comune,Castello-Molina di Fiemme comune.1
,
Castello-Molina di Fiemme – VedutaChiesa di Castello di Fiemme,Castello-Molina di Fiemme – VedutaChiesa di Castello di Fiemme
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Marco Larger (lista civica) dal 10-5-2015
Territorio,Territorio
Coordinate,46°16′19.49″N 11°25′01.92″E
Altitudine,963 m s.l.m.
Superficie,"54,56 km²"
Abitanti,2 322[1] (30-11-2025)
Densità,"42,56 ab./km²"
Frazioni,"Castello di Fiemme (sede comunale; Castèl), Molina di Fiemme (Molìna), Predaia (Pradaia), Stramentizzo (Stramentìz)"
Comuni confinanti,"Anterivo (BZ), Capriana, Cavalese, Pieve Tesino, Telve, Valfloriana, Ville di Fiemme"
Altre informazioni,Altre informazioni
Cod. postale,38030
Prefisso,0462
Fuso orario,UTC+1
Codice ISTAT,022047
Cod. catastale,C189
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Nome abitanti,castellani - molinari
Patrono,san Giorgio per Castello - sant'Antonio da Padova per Molina
Giorno festivo,23 aprile per Castello - 13 giugno per Molina
Cartografia,Cartografia
Castello-Molina di Fiemme,Castello-Molina di Fiemme
Castello-Molina di Fiemme – MappaPosizione del comune di Castello-Molina di Fiemme nella provincia autonoma di Trento,Castello-Molina di Fiemme – MappaPosizione del comune di Castello-Molina di Fiemme nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
