Sfruz comune,Sfruz comune.1
,
Sfruz – Veduta,Sfruz – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Andrea Biasi (lista civica) dal 7-11-2016
Territorio,Territorio
Coordinate,46°20′N 11°07′E
Altitudine,1 012 m s.l.m.
Superficie,"11,81 km²"
Abitanti,383[1] (30-11-2025)
Densità,"32,43 ab./km²"
Comuni confinanti,"Amblar-Don, Predaia, Termeno sulla strada del vino (BZ)"
Altre informazioni,Altre informazioni
Cod. postale,38010
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022173
Cod. catastale,I714
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 974 GG[3]"
Nome abitanti,sfruzzini o sfruzereti
Patrono,sant'Agata
Giorno festivo,5 febbraio
Cartografia,Cartografia
Sfruz,Sfruz
Sfruz – MappaPosizione del comune di Sfruz  nella provincia autonoma di Trento,Sfruz – MappaPosizione del comune di Sfruz  nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
