Palù del Fersina comune,Palù del Fersina comune.1
(IT) Comune di Palù del Fersina (MHN) Gamoa' va Palai en Bersntol,(IT) Comune di Palù del Fersina (MHN) Gamoa' va Palai en Bersntol
,
Palù del Fersina – VedutaPalù con la Valle dei Mòcheni sullo sfondo,Palù del Fersina – VedutaPalù con la Valle dei Mòcheni sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Franco Moar (lista civica Avanti Insieme-Zòmm Envir) dal 2020
Data di istituzione,10-1-1948
Territorio,Territorio
Coordinate,46°08′N 11°21′E
Altitudine,1 360 m s.l.m.
Superficie,"16,65 km²"
Abitanti,173[1] (30-11-2025)
Densità,"10,39 ab./km²"
Frazioni,"Battisti, Tassaineri, Tolleri"
Comuni confinanti,"Baselga di Piné, Bedollo, Fierozzo, Sant'Orsola Terme, Telve, Telve di Sopra, Torcegno"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022133
Cod. catastale,G296
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 512 GG[3]"
Nome abitanti,paludani detti palàeri o pallàori
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Palù del Fersina,Palù del Fersina
Palù del Fersina – MappaPosizione del comune di Palù del Fersina nella provincia autonoma di Trento,Palù del Fersina – MappaPosizione del comune di Palù del Fersina nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
