Caldes comune,Caldes comune.1
,
Caldes – Veduta,Caldes – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Antonio Maini (lista civica) dal 17-5-2010 (3º mandato dal 22-9-2020)
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,46°22′N 10°57′E
Altitudine,697 m s.l.m.
Superficie,"20,81 km²"
Abitanti,1 123[1] (30-11-2025)
Densità,"53,96 ab./km²"
Frazioni,"Bordiana, Bozzana, Cassana, Samoclevo (Samocléf[2]), San Giacomo, Tozzaga"
Comuni confinanti,"Bresimo, Cavizzana, Cis, Cles, Malé, Terzolas"
Altre informazioni,Altre informazioni
Cod. postale,38022
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022033
Cod. catastale,B400
Targa,TN
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 3 326 GG[4]"
Nome abitanti,caudesi (cjaudési)
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Caldes,Caldes
Caldes – MappaPosizione del comune di Caldes all'interno della provincia di Trento,Caldes – MappaPosizione del comune di Caldes all'interno della provincia di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
