Borgo Lares comune,Borgo Lares comune.1
Borgo Lares – Veduta,Borgo Lares – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Giorgio Marchetti (lista civica Orizzonti comuni) dal 9-5-2016 (2º mandato dal 21-9-2020)
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate,46°02′07″N 10°45′08″E
Altitudine,595 m s.l.m.
Superficie,"22,62 km²"
Abitanti,735[1] (30-11-2025)
Densità,"32,49 ab./km²"
Frazioni,"Bolbeno, Giugià, Stele, Zuclo (sede comunale)"
Comuni confinanti,"Bleggio Superiore, Ledro, Sella Giudicarie, Tione di Trento, Tre Ville"
Altre informazioni,Altre informazioni
Cod. postale,38079
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022239
Cod. catastale,M353
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Borgo Lares,Borgo Lares
Borgo Lares – MappaPosizione del comune di Borgo Lares nella provincia autonoma di Trento,Borgo Lares – MappaPosizione del comune di Borgo Lares nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
