Terzolas comune,Terzolas comune.1
,
Terzolas – Veduta,Terzolas – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Luciana Pedergnana dal 22-9-2020
Territorio,Territorio
Coordinate,46°21′40.71″N 10°55′33.99″E
Altitudine,755 m s.l.m.
Superficie,"5,59 km²"
Abitanti,644[1] (30-11-2025)
Densità,"115,21 ab./km²"
Comuni confinanti,"Caldes, Cles, Malé"
Altre informazioni,Altre informazioni
Cod. postale,38027
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022195
Cod. catastale,L145
Targa,TN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 569 GG[3]"
Nome abitanti,tergiolasi
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Terzolas,Terzolas
Terzolas – MappaPosizione del comune di Terzolas nella provincia autonoma di Trento,Terzolas – MappaPosizione del comune di Terzolas nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
