Mezzolombardo comune,Mezzolombardo comune.1
,
Mezzolombardo – VedutaUna foto di Mezzolombardo scattata dalla Val dei Colleri,Mezzolombardo – VedutaUna foto di Mezzolombardo scattata dalla Val dei Colleri
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Michele Dalfovo (lista civica di centro-destra) dal 26-5-2024
Territorio,Territorio
Coordinate,46°12′35″N 11°05′52″E
Altitudine,227 m s.l.m.
Superficie,"13,88 km²"
Abitanti,7 792[1] (30-11-2025)
Densità,"561,38 ab./km²"
Comuni confinanti,"Fai della Paganella, Mezzocorona, San Michele all'Adige, Spormaggiore, Terre d'Adige, Ton"
Altre informazioni,Altre informazioni
Cod. postale,38017
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022117
Cod. catastale,F187
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 835 GG[3]"
Nome abitanti,"rotaliani, detti anche “forcoloti”"
Patrono,San Pietro
Giorno festivo,24 giugno
Cartografia,Cartografia
Mezzolombardo,Mezzolombardo
Mezzolombardo – MappaPosizione del comune di Mezzolombardo nella provincia autonoma di Trento,Mezzolombardo – MappaPosizione del comune di Mezzolombardo nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
