Spormaggiore comune,Spormaggiore comune.1
,
Spormaggiore – VedutaLe due chiese di Spormaggiore,Spormaggiore – VedutaLe due chiese di Spormaggiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Alessandro Pezzi dal 5-5-25
Territorio,Territorio
Coordinate,46°13′N 11°03′E
Altitudine,565 m s.l.m.
Superficie,"30,2 km²"
Abitanti,1 285[1] (30-11-2025)
Densità,"42,55 ab./km²"
Frazioni,"Bèlfort, Fabbrica, Maurina, Meano, Sedriago, Seghe"
Comuni confinanti,"Campodenno, Cavedago, Fai della Paganella, Mezzolombardo, Molveno, Sporminore, Ton, Ville d'Anaunia"
Altre informazioni,Altre informazioni
Cod. postale,38010
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022180
Cod. catastale,I924
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 272 GG[3]"
Nome abitanti,"sporezi (in nones), zaponi (in nones --> significa rospi), sporeggiani (i spóri[4])"
Patrono,Natività di Maria
Cartografia,Cartografia
Spormaggiore,Spormaggiore
Spormaggiore – MappaPosizione del comune di Spormaggiore nella provincia autonoma di Trento,Spormaggiore – MappaPosizione del comune di Spormaggiore nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
