Stenico comune,Stenico comune.1
,
Stenico – VedutaIl castello di Stenico,Stenico – VedutaIl castello di Stenico
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Mirko Failoni (lista civica STENICO DOMANI) dal 4-5-2025
Territorio,Territorio
Coordinate,46°03′N 10°51′E
Altitudine,666 m s.l.m.
Superficie,"49,15 km²"
Abitanti,1 188[1] (30-11-2025)
Densità,"24,17 ab./km²"
Frazioni,"Premione, Sclemo, Seo, Villa Banale, Terme di Comano"
Comuni confinanti,"Comano Terme, Bocenago, Giustino, Pinzolo, San Lorenzo Dorsino, Tre Ville"
Altre informazioni,Altre informazioni
Cod. postale,38070
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022182
Cod. catastale,I949
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 411 GG[3]"
Nome abitanti,stenicensi o stenichesi (stenegòti o sténeghi)
Patrono,san Vigilio
Giorno festivo,26 giugno (san Vigilio) 11 novembre (san Martino)
Cartografia,Cartografia
Stenico,Stenico
Stenico – MappaPosizione del comune di Stenico nella provincia autonoma di Trento,Stenico – MappaPosizione del comune di Stenico nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
