Grigno comune,Grigno comune.1
,
Grigno – Veduta,Grigno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Claudio Voltolini (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,46°00′57.64″N 11°38′01.64″E
Altitudine,263 m s.l.m.
Superficie,"46,39 km²"
Abitanti,2 032[1] (30-11-2025)
Densità,"43,8 ab./km²"
Frazioni,"Belvedere, Filippini, Martincelli, Masi Ornè, Palù, Pianello, Puele, Selva, Serafini, Tollo, Tezze[2]"
Comuni confinanti,"Arsiè (BL), Asiago (VI), Castello Tesino, Cinte Tesino, Enego (VI), Ospedaletto, Valbrenta (VI)"
Altre informazioni,Altre informazioni
Cod. postale,38055
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022095
Cod. catastale,E178
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 801 GG[4]"
Nome abitanti,grignati
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Grigno,Grigno
Grigno – MappaPosizione del comune di Grigno nella provincia autonoma di Trento,Grigno – MappaPosizione del comune di Grigno nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
