Imèr comune,Imèr comune.1
,
Imèr – VedutaComune di Imèr dalla Vederna,Imèr – VedutaComune di Imèr dalla Vederna
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Daniele Gubert (lista civica) dal 5-5-2025
Territorio,Territorio
Coordinate,46°09′07.34″N 11°47′50.42″E
Altitudine,670 m s.l.m.
Superficie,"27,73 km²"
Abitanti,1 155[1] (30-11-2025)
Densità,"41,65 ab./km²"
Frazioni,"Bus, Centrale di San Silvestro, Giani, Masi, Pontet, Villaggio Sass Maor[2]"
Comuni confinanti,"Canal San Bovo, Mezzano, Primiero San Martino di Castrozza, Sovramonte (BL)"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0439
Fuso orario,UTC+1
Codice ISTAT,022097
Cod. catastale,E288
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 436 GG[4]"
Nome abitanti,almeroi o imeresi[5]
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Imèr,Imèr
Imèr – MappaPosizione del comune di Imer nella provincia autonoma di Trento,Imèr – MappaPosizione del comune di Imer nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
