Ton comune,Ton comune.1
,
Ton – VedutaVista del Castel Thun,Ton – VedutaVista del Castel Thun
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Ivan Battan (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,46°16′N 11°05′E
Altitudine,482 m s.l.m.
Superficie,"26,28 km²"
Abitanti,1 308[1] (30-11-2025)
Densità,"49,77 ab./km²"
Frazioni,"Masi di Vigo, Toss, Vigo di Ton (sede comunale) Località: Baschieri, Bastianelli, Castelletto, Ceramica, Comino, Moncovo, Nosino, Raut, Rocchetta, Sabino"
Comuni confinanti,"Campodenno, Cortaccia sulla Strada del Vino (BZ), Denno, Mezzocorona, Mezzolombardo, Predaia, Roveré della Luna, Spormaggiore, Sporminore"
Altre informazioni,Altre informazioni
Lingue,italiano e noneso
Cod. postale,38010
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022200
Cod. catastale,L200
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 143 GG[3]"
Nome abitanti,tonensi
Patrono,santa Maria Assunta
Cartografia,Cartografia
Ton,Ton
Ton – MappaPosizione del comune di Ton nella provincia autonoma di Trento,Ton – MappaPosizione del comune di Ton nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
