Telve comune,Telve comune.1
,
Telve – VedutaVista generale,Telve – VedutaVista generale
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Matteo Degaudenz (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,46°04′N 11°29′E
Altitudine,548 m s.l.m.
Superficie,"64,75 km²"
Abitanti,1 939[1] (30-11-2025)
Densità,"29,95 ab./km²"
Comuni confinanti,"Baselga di Piné, Borgo Valsugana, Carzano, Castello-Molina di Fiemme, Castelnuovo, Palù del Fersina, Pieve Tesino, Scurelle, Telve di Sopra, Valfloriana"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022188
Cod. catastale,L089
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 249 GG[3]"
Nome abitanti,telvati
Patrono,santa Maria Assunta[4]
Giorno festivo,15 agosto
Cartografia,Cartografia
Telve,Telve
Telve – MappaPosizione del comune di Telve nella provincia autonoma di Trento,Telve – MappaPosizione del comune di Telve nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
