Garniga Terme comune,Garniga Terme comune.1
,
Garniga Terme – VedutaVista del paese di Garniga Vecchia,Garniga Terme – VedutaVista del paese di Garniga Vecchia
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Valerio Linardi (lista civica) dal 10-5-2015
Territorio,Territorio
Coordinate,46°00′09.11″N 11°05′13.42″E
Altitudine,850 m s.l.m.
Superficie,"13,13 km²"
Abitanti,428[1] (30-11-2025)
Densità,"32,6 ab./km²"
Frazioni,"Cà di Sopra, Cà di Sotto, Garniga Vecchia, Cires, Gatter, Lago, Piazza, Valle, Zobbio"
Comuni confinanti,"Aldeno, Cimone, Trento"
Altre informazioni,Altre informazioni
Cod. postale,38060
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022091
Cod. catastale,D928
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 654 GG[3]"
Nome abitanti,garnigheri (i garnighèri)
Patrono,Sacro Cuore di Gesù
Cartografia,Cartografia
Garniga Terme,Garniga Terme
Garniga Terme – MappaPosizione del comune di Garniga Terme nella provincia autonoma di Trento,Garniga Terme – MappaPosizione del comune di Garniga Terme nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
