Storo comune,Storo comune.1
,
Storo – VedutaVista da Faserno,Storo – VedutaVista da Faserno
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,"Nicola Zontini (liste civiche di centro-sinistra Fare, crescere insieme) dal 22-9-2020"
Territorio,Territorio
Coordinate,45°50′56″N 10°34′49″E
Altitudine,409 m s.l.m.
Superficie,"62,94 km²"
Abitanti,4 503[1] (30-11-2025)
Densità,"71,54 ab./km²"
Frazioni,"Cà Rossa, Darzo, Lodrone, Riccomassimo"
Comuni confinanti,"Bagolino (BS), Bondone, Borgo Chiese, Ledro"
Altre informazioni,Altre informazioni
Cod. postale,38089
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022183
Cod. catastale,I964
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 029 GG[3]"
Nome abitanti,storesi
Patrono,san Floriano
Giorno festivo,4 maggio
Cartografia,Cartografia
Storo,Storo
Storo – MappaPosizione del comune di Storo  nella provincia autonoma di Trento,Storo – MappaPosizione del comune di Storo  nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
