Pescolanciano comune,Pescolanciano comune.1
,
Pescolanciano – VedutaPanorama di Pescolanciano,Pescolanciano – VedutaPanorama di Pescolanciano
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Manolo Sacco (Andiamo oltre) dal 5-6-2016
Territorio,Territorio
Coordinate,41°41′N 14°20′E
Altitudine,806 m s.l.m.
Superficie,"34,73 km²"
Abitanti,778[1] (30-11-2025)
Densità,"22,4 ab./km²"
Frazioni,La Castagna
Comuni confinanti,"Agnone, Carovilli, Chiauci, Civitanova del Sannio, Miranda, Pietrabbondante, Sessano del Molise"
Altre informazioni,Altre informazioni
Cod. postale,86097
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094032
Cod. catastale,G495
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 479 GG[3]"
Nome abitanti,pescolancianesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Pescolanciano,Pescolanciano
Pescolanciano – MappaPosizione del comune di Pescolanciano nella provincia di Isernia,Pescolanciano – MappaPosizione del comune di Pescolanciano nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
