Venafro comune,Venafro comune.1
,
Venafro – Veduta,Venafro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Alfredo Ricci (lista civica) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,41°29′N 14°03′E
Altitudine,222 m s.l.m.
Superficie,"46,45 km²"
Abitanti,10 657[1] (30-11-2025)
Densità,"229,43 ab./km²"
Frazioni,"Ceppagna, Le Noci, Vallecupa"
Comuni confinanti,"Capriati a Volturno (CE), Ciorlano (CE), Conca Casale, Mignano Monte Lungo (CE), Pozzilli, San Pietro Infine (CE), San Vittore del Lazio (FR), Sesto Campano"
Altre informazioni,Altre informazioni
Cod. postale,86079
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094052
Cod. catastale,L725
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 492 GG[3]"
Nome abitanti,venafrani
Patrono,"santi Nicandro, Marciano e Daria"
Giorno festivo,17 giugno
PIL,"(nominale) 186,9 mln €[4]"
PIL procapite,(nominale) 16 761 €[4]
Cartografia,Cartografia
Venafro,Venafro
Venafro – MappaPosizione del comune di Venafro nella provincia di Isernia,Venafro – MappaPosizione del comune di Venafro nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
