Vastogirardi comune,Vastogirardi comune.1
,
Vastogirardi – VedutaIl castello angioino,Vastogirardi – VedutaIl castello angioino
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Antonio Cea (Bene in comune) dal 10-6-2024
Territorio,Territorio
Coordinate,41°46′N 14°16′E
Altitudine,1 200 m s.l.m.
Superficie,"60,71 km²"
Abitanti,578[1] (30-11-2025)
Densità,"9,52 ab./km²"
Frazioni,"Villa San Michele, Cerreto"
Comuni confinanti,"Agnone, Capracotta, Carovilli, Castel di Sangro (AQ), Forlì del Sannio, Rionero Sannitico, Roccasicura, San Pietro Avellana"
Altre informazioni,Altre informazioni
Cod. postale,86089
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094051
Cod. catastale,L696
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 131 GG[3]"
Nome abitanti,vastesi
Patrono,san Nicola
Giorno festivo,2 luglio
Cartografia,Cartografia
Vastogirardi,Vastogirardi
Vastogirardi – MappaPosizione del comune di Vastogirardi nella provincia di Isernia,Vastogirardi – MappaPosizione del comune di Vastogirardi nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
