Frosolone comune,Frosolone comune.1
,
Frosolone – Veduta,Frosolone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Pasquale Rocco De Lisio (Obiettivo Comune) dal 10-6-2024
Territorio,Territorio
Coordinate,41°36′N 14°27′E
Altitudine,894 m s.l.m.
Superficie,"49,89 km²"
Abitanti,2 728[1] (30-11-2025)
Densità,"54,68 ab./km²"
Frazioni,"Acquevive, Cerasito, Colle Carrise, Pedengone, Sant'Anna, San Pietro in Valle"
Comuni confinanti,"Carpinone, Casalciprano (CB), Civitanova del Sannio, Duronia (CB), Macchiagodena, Molise (CB), Sant'Elena Sannita, Sessano del Molise, Torella del Sannio (CB)"
Altre informazioni,Altre informazioni
Cod. postale,86095
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,094022
Cod. catastale,D811
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 539 GG[3]"
Nome abitanti,frosolonesi
Patrono,sant'Egidio
Cartografia,Cartografia
Frosolone,Frosolone
Frosolone – MappaPosizione del comune di Frosolone nella provincia di Isernia,Frosolone – MappaPosizione del comune di Frosolone nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
