Macchiagodena comune,Macchiagodena comune.1
,
Macchiagodena – VedutaLa Quercia Rovella monumentale in località Masseria Ciocchi.,Macchiagodena – VedutaLa Quercia Rovella monumentale in località Masseria Ciocchi.
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Felice Ciccone (Custodire e Costruire) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,41°34′N 14°24′E
Altitudine,864 m s.l.m.
Superficie,"34,35 km²"
Abitanti,1 658[1] (30-11-2025)
Densità,"48,27 ab./km²"
Frazioni,"Incoronata, Caporio, Santa Maria in Pantano, Santa Iusta, Terriaca"
Comuni confinanti,"Bojano (CB), Cantalupo nel Sannio, Carpinone, Frosolone, San Massimo (CB), Sant'Elena Sannita, Santa Maria del Molise"
Altre informazioni,Altre informazioni
Cod. postale,86096
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094026
Cod. catastale,E779
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 583 GG[3]"
Nome abitanti,macchiagodenesi
Patrono,san Nicola di Bari
Giorno festivo,terza domenica di maggio
Cartografia,Cartografia
Macchiagodena,Macchiagodena
Macchiagodena – MappaPosizione del comune di Macchiagodena nella provincia di Isernia,Macchiagodena – MappaPosizione del comune di Macchiagodena nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
