Pesche comune,Pesche comune.1
,
Pesche – Veduta,Pesche – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Maria Antenucci (Viviamo Pesche) dal 5-10-2021
Territorio,Territorio
Coordinate,41°36′19.87″N 14°16′34.32″E
Altitudine,732 m s.l.m.
Superficie,"12,96 km²"
Abitanti,1 443[1] (30-11-2025)
Densità,"111,34 ab./km²"
Comuni confinanti,"Carpinone, Isernia, Miranda, Sessano del Molise"
Altre informazioni,Altre informazioni
Cod. postale,86090
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094031
Cod. catastale,G486
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 368 GG[3]"
Nome abitanti,Pescolani
Patrono,"Madonna del Rosario, San Michele Arcangelo"
Giorno festivo,"Prima domenica di ottobre, 29 settembre"
Cartografia,Cartografia
Pesche,Pesche
Pesche – MappaPosizione del comune di Pesche nella provincia di Isernia,Pesche – MappaPosizione del comune di Pesche nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
