Cerro al Volturno comune,Cerro al Volturno comune.1
,
Cerro al Volturno – Veduta,Cerro al Volturno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Remo Di Ianni (Finalmente Cerro) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,41°39′N 14°08′E
Altitudine,572 m s.l.m.
Superficie,"23,79 km²"
Abitanti,1 105[1] (30-11-2025)
Densità,"46,45 ab./km²"
Frazioni,"Case, Cerreta, Cupone, Foci, Foresta, Mancini, Petrara, Piano d'Ischia, Rione Rossi, San Giovanni, San Vittorino, Santilli, Valloni."
Comuni confinanti,"Acquaviva d'Isernia, Castel San Vincenzo, Colli a Volturno, Forlì del Sannio, Fornelli, Montenero Val Cocchiara, Rocchetta a Volturno"
Altre informazioni,Altre informazioni
Cod. postale,86072
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094014
Cod. catastale,C534
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 990 GG[3]"
Nome abitanti,cerresi
Patrono,sant'Emidio
Giorno festivo,5 agosto
Cartografia,Cartografia
Cerro al Volturno,Cerro al Volturno
Cerro al Volturno – MappaPosizione del comune di Cerro al Volturno nella provincia di Isernia,Cerro al Volturno – MappaPosizione del comune di Cerro al Volturno nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
