Pettoranello di Molise comune,Pettoranello di Molise comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Marcello Toto (Insieme per il futuro) dal 4-10-2021
Territorio,Territorio
Coordinate,41°34′N 14°17′E
Altitudine,737 m s.l.m.
Superficie,"15,58 km²"
Abitanti,450[1] (30-11-2025)
Densità,"28,88 ab./km²"
Comuni confinanti,"Carpinone, Castelpetroso, Castelpizzuto, Isernia, Longano"
Altre informazioni,Altre informazioni
Cod. postale,86090
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094034
Cod. catastale,G523
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 376 GG[3]"
Nome abitanti,pettoranellesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Pettoranello di Molise,Pettoranello di Molise
Pettoranello di Molise – MappaPosizione del comune di Pettoranello di Molise nella provincia di Isernia,Pettoranello di Molise – MappaPosizione del comune di Pettoranello di Molise nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
