Macchia d'Isernia comune,Macchia d'Isernia comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Giovanni Martino (Obiettivo comune per Macchia) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,41°34′N 14°10′E
Altitudine,360 m s.l.m.
Superficie,"17,71 km²"
Abitanti,1 024[1] (30-11-2025)
Densità,"57,82 ab./km²"
Comuni confinanti,"Colli a Volturno, Fornelli, Isernia, Monteroduni, Sant'Agapito"
Altre informazioni,Altre informazioni
Cod. postale,86070
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094025
Cod. catastale,E778
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 764 GG[3]"
Nome abitanti,macchiaroli
Patrono,san Nicola di Bari
Giorno festivo,9 maggio
Cartografia,Cartografia
Macchia d'Isernia,Macchia d'Isernia
Macchia d'Isernia – MappaPosizione del comune di Macchia d'Isernia all'interno della provincia di Isernia,Macchia d'Isernia – MappaPosizione del comune di Macchia d'Isernia all'interno della provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
