Sant'Elena Sannita comune,Sant'Elena Sannita comune.1
,
Sant'Elena Sannita – Veduta,Sant'Elena Sannita – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Giuseppe Terriaca (Uniti per Sant'Elena Sannita) dal 15-6-2022
Territorio,Territorio
Coordinate,41°35′N 14°28′E
Altitudine,780 m s.l.m.
Superficie,"14,08 km²"
Abitanti,294[1] (30-11-2025)
Densità,"20,88 ab./km²"
Comuni confinanti,"Bojano (CB), Casalciprano (CB), Frosolone, Macchiagodena, Spinete (CB)"
Altre informazioni,Altre informazioni
Cod. postale,86099
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,094047
Cod. catastale,B466
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 446 GG[3]"
Nome abitanti,santelenesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Sant'Elena Sannita,Sant'Elena Sannita
Sant'Elena Sannita – MappaPosizione del comune di Sant'Elena Sannita nella provincia di Isernia,Sant'Elena Sannita – MappaPosizione del comune di Sant'Elena Sannita nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
