Acquaviva d'Isernia comune,Acquaviva d'Isernia comune.1
,
Acquaviva d'Isernia – Vedutapanorama,Acquaviva d'Isernia – Vedutapanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Francesca Petrocelli (Uniti per Acquaviva) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°40′N 14°09′E
Altitudine,730 m s.l.m.
Superficie,"13,51 km²"
Abitanti,346[1] (30-11-2025)
Densità,"25,61 ab./km²"
Comuni confinanti,"Cerro al Volturno, Forlì del Sannio, Montenero Val Cocchiara, Rionero Sannitico"
Altre informazioni,Altre informazioni
Cod. postale,86080
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094001
Cod. catastale,A051
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 365 GG[3]"
Nome abitanti,acquavivesi
Patrono,Sant'Anastasio
Giorno festivo,22 gennaio
Cartografia,Cartografia
Acquaviva d'Isernia,Acquaviva d'Isernia
Acquaviva d'Isernia – MappaPosizione del comune di Acquaviva d'Isernia nella provincia di Isernia,Acquaviva d'Isernia – MappaPosizione del comune di Acquaviva d'Isernia nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
