Colli a Volturno comune,Colli a Volturno comune.1
,
Colli a Volturno – Veduta,Colli a Volturno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Emilio Incollingo (Equilibrio e moderazione) dal 6-6-2016 (2º mandato dal 5-10-2021)
Data di istituzione,26 luglio 1863
Territorio,Territorio
Coordinate,41°36′N 14°06′E
Altitudine,408 m s.l.m.
Superficie,"25,25 km²"
Abitanti,1 255[1] (30-11-2025)
Densità,"49,7 ab./km²"
Frazioni,"Casali, Castiglioni, Cerreto, Colle, Fonte Barile, Fonticelle, Pescorosso, Raddi, Santa Giusta, Sterpara, Valloni"
Comuni confinanti,"Cerro al Volturno, Filignano, Fornelli, Macchia d'Isernia, Montaquila, Monteroduni, Rocchetta a Volturno, Scapoli"
Altre informazioni,Altre informazioni
Cod. postale,86073
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094017
Cod. catastale,C878
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 804 GG[3]"
Nome abitanti,collesi
Patrono,"san Leonardo abate (patrono) sant'Antonio di Padova, sant'Antonino, sant'Emidio (compatroni)"
Giorno festivo,6 novembre
PIL procapite,"(nominale) 16 583,7 € (2021)[4]"
Cartografia,Cartografia
Colli a Volturno,Colli a Volturno
Colli a Volturno – MappaPosizione del comune di Colli a Volturno nella provincia di Isernia,Colli a Volturno – MappaPosizione del comune di Colli a Volturno nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
