Miranda comune,Miranda comune.1
,
Miranda – Veduta,Miranda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Marco Ferrante (Insieme per Miranda) dal 27-5-2019
Territorio,Territorio
Coordinate,41°39′N 14°15′E
Altitudine,860 m s.l.m.
Superficie,"22,15 km²"
Abitanti,915[1] (30-11-2025)
Densità,"41,31 ab./km²"
Comuni confinanti,"Carovilli, Isernia, Pesche, Pescolanciano, Roccasicura, Sessano del Molise"
Altre informazioni,Altre informazioni
Cod. postale,86080
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094027
Cod. catastale,F239
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 576 GG[3]"
Nome abitanti,mirandesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Miranda,Miranda
Miranda – MappaPosizione del comune di Miranda nella provincia di Isernia,Miranda – MappaPosizione del comune di Miranda nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
