Sessano del Molise comune,Sessano del Molise comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Pino Venditti (Trasparenza) dall'11-6-2018
Territorio,Territorio
Coordinate,41°38′N 14°20′E
Altitudine,796 m s.l.m.
Superficie,"25,32 km²"
Abitanti,661[1] (30-11-2025)
Densità,"26,11 ab./km²"
Frazioni,"Coste, Pescocupo, Durante, Pantaniello"
Comuni confinanti,"Carpinone, Chiauci, Civitanova del Sannio, Frosolone, Miranda, Pesche, Pescolanciano"
Altre informazioni,Altre informazioni
Cod. postale,86097
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094049
Cod. catastale,I679
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 472 GG[3]"
Nome abitanti,sessanesi
Patrono,san Donato martire
Giorno festivo,7 agosto
Cartografia,Cartografia
Sessano del Molise,Sessano del Molise
Sessano del Molise – MappaPosizione del comune di Sessano del Molise nella provincia di Isernia,Sessano del Molise – MappaPosizione del comune di Sessano del Molise nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
