Castel San Vincenzo comune,Castel San Vincenzo comune.1
,
Castel San Vincenzo – VedutaPanorama di Castel San Vincenzo,Castel San Vincenzo – VedutaPanorama di Castel San Vincenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Marisa Margiotta (Insieme per Castel San Vincenzo) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°39′N 14°04′E
Altitudine,749 m s.l.m.
Superficie,"21,98 km²"
Abitanti,417[1] (30-11-2025)
Densità,"18,97 ab./km²"
Frazioni,Cartiera
Comuni confinanti,"Cerro al Volturno, Montenero Val Cocchiara, Pizzone, Rocchetta a Volturno, San Biagio Saracinisco (FR)"
Altre informazioni,Altre informazioni
Cod. postale,86071
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094012
Cod. catastale,C270
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 396 GG[3]"
Nome abitanti,castelsanvincenzesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Castel San Vincenzo,Castel San Vincenzo
Castel San Vincenzo – MappaPosizione del comune di Castel San Vincenzo nella provincia di Isernia,Castel San Vincenzo – MappaPosizione del comune di Castel San Vincenzo nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
