Bagnoli del Trigno comune,Bagnoli del Trigno comune.1
,
Bagnoli del Trigno – VedutaPanorama con lo scorcio della chiesa di San Silvestro,Bagnoli del Trigno – VedutaPanorama con lo scorcio della chiesa di San Silvestro
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Giancarlo Ianiero (Siamo Bagnoli) dal 5-10-2021
Territorio,Territorio
Coordinate,41°42′N 14°27′E
Altitudine,660 m s.l.m.
Superficie,"36,8 km²"
Abitanti,606[1] (30-11-2025)
Densità,"16,47 ab./km²"
Comuni confinanti,"Civitanova del Sannio, Duronia (CB), Pietracupa (CB), Salcito (CB)"
Altre informazioni,Altre informazioni
Cod. postale,86091
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,094003
Cod. catastale,A567
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 263 GG[3]"
Nome abitanti,bagnolesi
Patrono,san Vitale di Roma
Giorno festivo,20 agosto
Cartografia,Cartografia
Bagnoli del Trigno,Bagnoli del Trigno
Bagnoli del Trigno – MappaPosizione del comune di Bagnoli del Trigno nella provincia di Isernia,Bagnoli del Trigno – MappaPosizione del comune di Bagnoli del Trigno nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
