Castelpetroso comune,Castelpetroso comune.1
,
Castelpetroso – VedutaSantuario della Madonna Addolorata,Castelpetroso – VedutaSantuario della Madonna Addolorata
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Gianmarco De Filippis (Castelpetroso nel cuore) dal 10-6-2024
Territorio,Territorio
Coordinate,41°34′N 14°21′E
Altitudine,872 m s.l.m.
Superficie,"22,71 km²"
Abitanti,1 498[1] (30-11-2025)
Densità,"65,96 ab./km²"
Frazioni,"Camere, Casale, Guasto, Indiprete, Pastena"
Comuni confinanti,"Carpinone, Castelpizzuto, Pettoranello del Molise, Santa Maria del Molise"
Altre informazioni,Altre informazioni
Cod. postale,86090
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094010
Cod. catastale,C246
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 502 GG[3]"
Nome abitanti,castellani
Patrono,san Martino Vescovo
Giorno festivo,11 novembre
Cartografia,Cartografia
Castelpetroso,Castelpetroso
Castelpetroso – MappaPosizione del comune di Castelpetroso nella provincia di Isernia,Castelpetroso – MappaPosizione del comune di Castelpetroso nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
