Castelverrino comune,Castelverrino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Christian Pannunzio (Castelverrino unito) dal 27-5-2019
Territorio,Territorio
Coordinate,41°46′N 14°24′E
Altitudine,600 m s.l.m.
Superficie,"6,2 km²"
Abitanti,86[1] (30-11-2025)
Densità,"13,87 ab./km²"
Comuni confinanti,"Agnone, Pietrabbondante, Poggio Sannita"
Altre informazioni,Altre informazioni
Cod. postale,86080
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094013
Cod. catastale,C200
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 153 GG[3]"
Nome abitanti,castelverrinesi
Patrono,san Vincenzo
Giorno festivo,prima domenica di maggio
Cartografia,Cartografia
Castelverrino,Castelverrino
Castelverrino – MappaPosizione del comune di Castelverrino nella provincia di Isernia,Castelverrino – MappaPosizione del comune di Castelverrino nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
