Carpinone comune,Carpinone comune.1
,
Carpinone – VedutaVeduta del castello Caldora di Carpinone,Carpinone – VedutaVeduta del castello Caldora di Carpinone
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Pasquale Colitti (Trasparenza e partecipazione) dal 5-6-2016
Territorio,Territorio
Coordinate,41°36′N 14°19′E
Altitudine,636 m s.l.m.
Superficie,"32,43 km²"
Abitanti,983[1] (30-11-2025)
Densità,"30,31 ab./km²"
Comuni confinanti,"Castelpetroso, Frosolone, Isernia, Macchiagodena, Pesche, Pettoranello del Molise, Santa Maria del Molise, Sessano del Molise"
Altre informazioni,Altre informazioni
Cod. postale,86093
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094008
Cod. catastale,B830
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 211 GG[3]"
Nome abitanti,carpinonesi
Patrono,San Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Carpinone,Carpinone
Carpinone – MappaPosizione del comune di Carpinone nella provincia di Isernia,Carpinone – MappaPosizione del comune di Carpinone nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
