Castelpizzuto comune,Castelpizzuto comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Carla Caranci (Castelpizzuto resisti) dall'11-6-2018
Territorio,Territorio
Coordinate,41°31′N 14°18′E
Altitudine,836 m s.l.m.
Superficie,"15,39 km²"
Abitanti,136[1] (30-11-2025)
Densità,"8,84 ab./km²"
Comuni confinanti,"Castelpetroso, Longano, Pettoranello del Molise, Roccamandolfi, Santa Maria del Molise"
Altre informazioni,Altre informazioni
Cod. postale,86090
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094011
Cod. catastale,C247
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 358 GG[3]"
Nome abitanti,pizzutesi
Cartografia,Cartografia
Castelpizzuto,Castelpizzuto
Castelpizzuto – MappaPosizione del comune di Castelpizzuto nella provincia di Isernia,Castelpizzuto – MappaPosizione del comune di Castelpizzuto nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
