San Pietro Avellana comune,San Pietro Avellana comune.1
,
San Pietro Avellana – Veduta,San Pietro Avellana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Simona De Caprio (Uniti per San Pietro Avellana) dal 5-10-2021
Territorio,Territorio
Coordinate,41°47′31″N 14°10′53″E
Altitudine,960 m s.l.m.
Superficie,"44,95 km²"
Abitanti,390[1] (30-11-2025)
Densità,"8,68 ab./km²"
Frazioni,"Alvani, Cerri, Masserie di Cristo, Scalo Ferroviario"
Comuni confinanti,"Ateleta (AQ), Capracotta, Castel del Giudice, Castel di Sangro (AQ), Roccaraso (AQ), Vastogirardi"
Altre informazioni,Altre informazioni
Cod. postale,86088
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094043
Cod. catastale,I096
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 739 GG[3]"
Nome abitanti,sampietresi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
San Pietro Avellana,San Pietro Avellana
San Pietro Avellana – MappaPosizione del comune di San Pietro Avellana nella provincia di Isernia,San Pietro Avellana – MappaPosizione del comune di San Pietro Avellana nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
