Roccamandolfi comune,Roccamandolfi comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Giacomo Lombardi (lista civica) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°30′N 14°21′E
Altitudine,850 m s.l.m.
Superficie,"53,67 km²"
Abitanti,802[1] (30-11-2025)
Densità,"14,94 ab./km²"
Comuni confinanti,"Cantalupo nel Sannio, Castelpizzuto, Gallo Matese (CE), Letino (CE), Longano, San Gregorio Matese (CE), San Massimo (CB), Santa Maria del Molise"
Altre informazioni,Altre informazioni
Cod. postale,86092
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094040
Cod. catastale,H420
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 560 GG[3]"
Nome abitanti,roccolani
Patrono,San Giacomo il Maggiore
Giorno festivo,25 luglio
Cartografia,Cartografia
Roccamandolfi,Roccamandolfi
Roccamandolfi – MappaPosizione del comune di Roccamandolfi nella provincia di Isernia,Roccamandolfi – MappaPosizione del comune di Roccamandolfi nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
