Pescopennataro comune,Pescopennataro comune.1
,
Pescopennataro – VedutaVeduta di Pescopennataro,Pescopennataro – VedutaVeduta di Pescopennataro
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Pompilio Sciulli[1] (lista civica Pesco nel Cuore) dal 09-6-2024
Territorio,Territorio
Coordinate,41°52′40.5″N 14°17′39.1″E
Altitudine,1 198 m s.l.m.
Superficie,"18,84 km²"
Abitanti,226[2] (30-11-2025)
Densità,12 ab./km²
Comuni confinanti,"Agnone, Borrello (CH), Capracotta, Rosello (CH), Sant'Angelo del Pesco"
Altre informazioni,Altre informazioni
Cod. postale,86080
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094033
Cod. catastale,G497
Targa,IS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 114 GG[4]"
Nome abitanti,pescolani
Patrono,san Rocco
Giorno festivo,16 agosto
PIL,"(nominale) 3,5 mln €[5]"
PIL procapite,(nominale) 17 004 €[5]
Cartografia,Cartografia
Pescopennataro,Pescopennataro
Pescopennataro – MappaPosizione del comune di Pescopennataro nella provincia di Isernia,Pescopennataro – MappaPosizione del comune di Pescopennataro nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
