Forlì del Sannio comune,Forlì del Sannio comune.1
,
Forlì del Sannio – Veduta,Forlì del Sannio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Sergio Lerza (Forli Futur@) dal 5-10-2021
Territorio,Territorio
Coordinate,41°42′N 14°11′E
Altitudine,610 m s.l.m.
Superficie,"32,56 km²"
Abitanti,622[1] (30-11-2025)
Densità,"19,1 ab./km²"
Frazioni,"Vandra, Macchia, Convento Vecchio, Acqua dei Ranci, Lotto, Ricinuso"
Comuni confinanti,"Acquaviva d'Isernia, Cerro al Volturno, Fornelli, Isernia, Rionero Sannitico, Roccasicura, Vastogirardi"
Altre informazioni,Altre informazioni
Cod. postale,86084
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094020
Cod. catastale,D703
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 169 GG[3]"
Nome abitanti,forlivesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Forlì del Sannio,Forlì del Sannio
Forlì del Sannio – MappaPosizione del comune di Forli del Sannio nella provincia di Isernia,Forlì del Sannio – MappaPosizione del comune di Forli del Sannio nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
