Capracotta comune,Capracotta comune.1
,
Capracotta – Veduta,Capracotta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Candido Paglione (Capracotta viva) dal 5-6-2016
Territorio,Territorio
Coordinate,41°50′N 14°16′E
Altitudine,1 421 m s.l.m.
Superficie,"42,55 km²"
Abitanti,745[1] (30-11-2025)
Densità,"17,51 ab./km²"
Comuni confinanti,"Agnone, Castel del Giudice, Pescopennataro, San Pietro Avellana, Sant'Angelo del Pesco, Vastogirardi"
Altre informazioni,Altre informazioni
Cod. postale,86082
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094006
Cod. catastale,B682
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 4 004 GG[3]"
Nome abitanti,capracottesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
PIL,"(nominale) 12,8 mln € [4]"
PIL procapite,(nominale) 15 318 € [4]
Cartografia,Cartografia
Capracotta,Capracotta
Capracotta – MappaPosizione del comune di Capracotta nella provincia di Isernia,Capracotta – MappaPosizione del comune di Capracotta nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
