Poggio Sannita comune,Poggio Sannita comune.1
,
Poggio Sannita – Veduta,Poggio Sannita – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Giuseppe Orlando (Continuiamo a crederci) dal 31-5-2015
Territorio,Territorio
Coordinate,41°46′40″N 14°24′46″E
Altitudine,705 m s.l.m.
Superficie,"25,74 km²"
Abitanti,513[1] (30-11-2025)
Densità,"19,93 ab./km²"
Frazioni,"Carapellese, Castel di Croce, Quarto I, Quarto II, Rimanci, San Cataldo, Scalzavacca, Sente, Valle del Porco"
Comuni confinanti,"Agnone, Castelverrino, Civitanova del Sannio, Pietrabbondante, Salcito (CB), Schiavi di Abruzzo (CH)"
Altre informazioni,Altre informazioni
Cod. postale,86086
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094037
Cod. catastale,B317
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 345 GG[3]"
Nome abitanti,poggesi
Patrono,san Prospero
Giorno festivo,21 agosto
Cartografia,Cartografia
Poggio Sannita,Poggio Sannita
Poggio Sannita – MappaPosizione del comune di Poggio Sannita nella provincia di Isernia,Poggio Sannita – MappaPosizione del comune di Poggio Sannita nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
