Rionero Sannitico comune,Rionero Sannitico comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Arnaldo Rossi (Viviamo Rionero) dal 10-6-2024
Territorio,Territorio
Coordinate,41°43′N 14°08′E
Altitudine,1 051 m s.l.m.
Superficie,"29,22 km²"
Abitanti,940[1] (30-11-2025)
Densità,"32,17 ab./km²"
Frazioni,"Casabona, Castiglione, Collefava, Le Canala, Le Martine, Le Vigne, Montalto, Predalve, San Mariano, Vernali"
Comuni confinanti,"Acquaviva d'Isernia, Castel di Sangro (AQ), Forlì del Sannio, Montenero Val Cocchiara, Vastogirardi"
Altre informazioni,Altre informazioni
Cod. postale,86087
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094039
Cod. catastale,H308
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 888 GG[3]"
Nome abitanti,rioneresi
Patrono,san Mariano martire
Giorno festivo,30 aprile
Cartografia,Cartografia
Rionero Sannitico,Rionero Sannitico
Rionero Sannitico – MappaPosizione del comune di Rionero Sannitico nella provincia di Isernia,Rionero Sannitico – MappaPosizione del comune di Rionero Sannitico nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
