Belmonte del Sannio comune,Belmonte del Sannio comune.1
,
Belmonte del Sannio – Veduta,Belmonte del Sannio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Errico Borrelli (lista civica) dal 15-05-2023
Territorio,Territorio
Coordinate,41°50′32.8″N 14°24′50.87″E
Altitudine,864 m s.l.m.
Superficie,"20,32 km²"
Abitanti,600[1] (30-11-2025)
Densità,"29,53 ab./km²"
Comuni confinanti,"Agnone, Castiglione Messer Marino (CH), Schiavi di Abruzzo (CH)"
Altre informazioni,Altre informazioni
Cod. postale,86080
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094004
Cod. catastale,A761
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 515 GG[3]"
Nome abitanti,Belmontesi
Patrono,san Anacleto
Giorno festivo,13 luglio
Cartografia,Cartografia
Belmonte del Sannio,Belmonte del Sannio
Belmonte del Sannio – MappaPosizione del comune di Belmonte del Sannio nella provincia di Isernia,Belmonte del Sannio – MappaPosizione del comune di Belmonte del Sannio nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
