Sesto Campano comune,Sesto Campano comune.1
,
Sesto Campano – Veduta,Sesto Campano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Eustachio Macari (Noi ci siamo) dal 21-9-2020
Territorio,Territorio
Coordinate,41°25′N 14°05′E
Altitudine,323 m s.l.m.
Superficie,"35,32 km²"
Abitanti,2 132[1] (30-11-2025)
Densità,"60,36 ab./km²"
Frazioni,Roccapipirozzi
Comuni confinanti,"Ciorlano (CE), Mignano Monte Lungo (CE), Pratella (CE), Presenzano (CE), Venafro"
Altre informazioni,Altre informazioni
Cod. postale,86078
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094050
Cod. catastale,I682
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 701 GG[3]"
Nome abitanti,sestolesi
Patrono,sant'Eustachio
Cartografia,Cartografia
Sesto Campano,Sesto Campano
Sesto Campano – MappaPosizione del comune di Sesto Campano nella provincia di Isernia,Sesto Campano – MappaPosizione del comune di Sesto Campano nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
