Castel del Giudice comune,Castel del Giudice comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Lino Nicola Gentile[1] (lista civica di centro-sinistra Paese Futuro) dal 26-5-2014
Territorio,Territorio
Coordinate,41°51′N 14°14′E
Altitudine,800 m s.l.m.
Superficie,"14,81 km²"
Abitanti,307[2] (30-11-2025)
Densità,"20,73 ab./km²"
Comuni confinanti,"Ateleta (AQ), Gamberale (CH), San Pietro Avellana, Sant'Angelo del Pesco, Capracotta"
Altre informazioni,Altre informazioni
Cod. postale,86080
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094009
Cod. catastale,C082
Targa,IS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 479 GG[4]"
Nome abitanti,castellani
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Castel del Giudice,Castel del Giudice
Castel del Giudice – MappaPosizione del comune di Castel del Giudice nella provincia di Isernia,Castel del Giudice – MappaPosizione del comune di Castel del Giudice nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
