Agnone comune,Agnone comune.1
,
Agnone – Veduta,Agnone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Daniele Saia (lista civica Nuovo sogno agnonese) dal 23-9-2020
Territorio,Territorio
Coordinate,41°48′37.44″N 14°22′42.6″E
Altitudine,830 m s.l.m.
Superficie,"96,85 km²"
Abitanti,4 553[1] (30-11-2025)
Densità,"47,01 ab./km²"
Frazioni,"Fontesambuco, Marzovecchio, Montagna, Monte S.Onofrio, Rigaini, Villacanale"
Comuni confinanti,"Belmonte del Sannio, Capracotta, Carovilli, Castelverrino, Castiglione Messer Marino (CH), Pescolanciano, Pescopennataro, Pietrabbondante, Poggio Sannita, Rosello (CH), Schiavi di Abruzzo (CH), Vastogirardi"
Altre informazioni,Altre informazioni
Cod. postale,86081
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094002
Cod. catastale,A080
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 457 GG[3]"
Nome abitanti,agnonesi
Patrono,san Cristanziano
Giorno festivo,13 maggio
PIL,"(nominale) 79,4 mln €[4]"
PIL procapite,(nominale) 15 989 €[4]
Cartografia,Cartografia
Agnone,Agnone
Agnone – MappaPosizione del comune di Agnone nella provincia di Isernia,Agnone – MappaPosizione del comune di Agnone nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
