Isernia comune,Isernia comune.1
,
"Isernia – VedutaQuattro scorci: (da sinistra a destra) veduta del centro storico dalla valle del Carpino, veduta del campanile della cattedrale, la Fontana Fraterna e la facciata della cattedrale di Isernia","Isernia – VedutaQuattro scorci: (da sinistra a destra) veduta del centro storico dalla valle del Carpino, veduta del campanile della cattedrale, la Fontana Fraterna e la facciata della cattedrale di Isernia"
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Piero Castrataro (indipendente di centro-sinistra) dal 21-10-2021
Territorio,Territorio
Coordinate,41°36′10″N 14°14′23″E
Altitudine,423 m s.l.m.
Superficie,"69,15 km²"
Abitanti,20 496[1] (30-11-2025)
Densità,"296,4 ab./km²"
Frazioni,"Acquazolfa, Asinina, Bazzoffie, Breccelle, Capruccia, Castagna, Castelluccio, Castelromano, Collecroci, Colle de' Cioffi, Colle Martino, Colle Pagano, Colle Palumbo, Conocchia, Coppolicchio, Fragnete, Marini, Ramiera Vecchia, Rio, Salietto, Valle Soda, Valgianese"
Comuni confinanti,"Carpinone, Forlì del Sannio, Fornelli, Longano, Macchia d'Isernia, Miranda, Pesche, Pettoranello del Molise, Roccasicura, Sant'Agapito"
Altre informazioni,Altre informazioni
Cod. postale,86170
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094023
Cod. catastale,E335
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 866 GG[3]"
Nome abitanti,isernini[4]
Patrono,san Pietro Celestino
Giorno festivo,19 maggio
PIL,"(nominale) 387,5 mln €[5]"
PIL procapite,(nominale) 18 225 €[5]
Cartografia,Cartografia
Isernia,Isernia
Isernia – MappaPosizione del comune di Isernia nell'omonima provincia,Isernia – MappaPosizione del comune di Isernia nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
