Pietrabbondante comune,Pietrabbondante comune.1
,
Pietrabbondante – Veduta,Pietrabbondante – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Claudino Casciano (Viviamo Pietrabbondante) dal 10-6-2024
Territorio,Territorio
Coordinate,41°45′N 14°23′E
Altitudine,1 027 (min 354 max 1 215) m s.l.m.
Superficie,"27,44 km²"
Abitanti,559[1] (30-11-2025)
Densità,"20,37 ab./km²"
Frazioni,"Arco, Macere, Ortovecchio, Ragusa-San Vincenzo, Sant'Andrea, Troilo, Vigna La Corte"
Comuni confinanti,"Agnone, Castelverrino, Chiauci, Civitanova del Sannio, Pescolanciano, Poggio Sannita"
Altre informazioni,Altre informazioni
Cod. postale,86085
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094035
Cod. catastale,G606
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 849 GG[3]"
Nome abitanti,pietrabbondantesi
Patrono,san Vincenzo Ferreri
Giorno festivo,5 agosto
Cartografia,Cartografia
Pietrabbondante,Pietrabbondante
Pietrabbondante – MappaPosizione del comune di Pietrabbondante nella provincia di Isernia,Pietrabbondante – MappaPosizione del comune di Pietrabbondante nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
