Monteroduni comune,Monteroduni comune.1
,
Monteroduni – Veduta,Monteroduni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Nicola Altobelli (Il coraggio di cambiare) dal 5-10-2021
Territorio,Territorio
Coordinate,41°31′N 14°10′E
Altitudine,468 m s.l.m.
Superficie,"37,22 km²"
Abitanti,2 129[1] (30-11-2025)
Densità,"57,2 ab./km²"
Frazioni,"Campo Fiorito, Campo La Fontana, Carpinete, Guado Largo, Limate, Pagliara, San Nazzaro, Sant'Eusanio, Selvotta, Socce, Starze"
Comuni confinanti,"Capriati a Volturno (CE), Colli a Volturno, Gallo Matese (CE), Longano, Macchia d'Isernia, Montaquila, Pozzilli, Sant'Agapito"
Altre informazioni,Altre informazioni
Cod. postale,86075
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094030
Cod. catastale,F601
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 903 GG[3]"
Nome abitanti,monterodunesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Monteroduni,Monteroduni
Monteroduni – MappaPosizione del comune di Monteroduni nella provincia di Isernia,Monteroduni – MappaPosizione del comune di Monteroduni nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
