Fornelli comune,Fornelli comune.1
,
Fornelli – Veduta,Fornelli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Giovanni Tedeschi (Crescere liberi) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,41°36′24.41″N 14°08′25.48″E
Altitudine,530 m s.l.m.
Superficie,"23,17 km²"
Abitanti,1 781[1] (30-11-2025)
Densità,"76,87 ab./km²"
Frazioni,"Alluoro, Bivio, Canala, Castello, Cervaro, Chiuselle, Fontanelle, Guardiello, Pincere, Santa Maria Casali"
Comuni confinanti,"Cerro al Volturno, Colli a Volturno, Forlì del Sannio, Isernia, Macchia d'Isernia"
Altre informazioni,Altre informazioni
Cod. postale,86070
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094021
Cod. catastale,D715
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 039 GG[3]"
Nome abitanti,fornellesi
Patrono,san Pietro martire (patrono) san Domenico abate (compatrono)
Giorno festivo,29 aprile 24 ottobre (fiera di San Raffaele)
Cartografia,Cartografia
Fornelli,Fornelli
Fornelli – MappaPosizione del comune di Fornelli nella provincia di Isernia,Fornelli – MappaPosizione del comune di Fornelli nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
