Conca Casale comune,Conca Casale comune.1
,
Conca Casale – Veduta,Conca Casale – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Riccardo Prete (Conca Casale riparte) dal 22-9-2020
Territorio,Territorio
Coordinate,41°29′47″N 14°00′20″E
Altitudine,657 m s.l.m.
Superficie,"14,43 km²"
Abitanti,162[1] (30-11-2025)
Densità,"11,23 ab./km²"
Comuni confinanti,"Pozzilli, San Vittore del Lazio (FR), Venafro, Viticuso (FR)"
Altre informazioni,Altre informazioni
Cod. postale,86070
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094018
Cod. catastale,C941
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 246 GG[3]"
Nome abitanti,casalesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Conca Casale,Conca Casale
Conca Casale – MappaPosizione del comune di Conca Casale nella provincia di Isernia,Conca Casale – MappaPosizione del comune di Conca Casale nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
