Filignano comune,Filignano comune.1
,
Filignano – VedutaMunicipio,Filignano – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Federica Cocozza (LiberaMente) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,41°33′N 14°03′E
Altitudine,460 m s.l.m.
Superficie,"30,88 km²"
Abitanti,566[1] (30-11-2025)
Densità,"18,33 ab./km²"
Frazioni,"Bottazzella, Cerasuolo, Cerreto, Collemacchia, Franchitti, Frunzo, Lagoni, Mastrogiovanni, Mennella, Selvone, Valerio, Valle"
Comuni confinanti,"Acquafondata (FR), Colli a Volturno, Montaquila, Pozzilli, Rocchetta a Volturno, Scapoli, Vallerotonda (FR)"
Altre informazioni,Altre informazioni
Cod. postale,86074
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094019
Cod. catastale,D595
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 924 GG[3]"
Nome abitanti,filignanesi
Cartografia,Cartografia
Filignano,Filignano
Filignano – MappaPosizione del comune di Filignano nella provincia di Isernia,Filignano – MappaPosizione del comune di Filignano nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
