Cantalupo nel Sannio comune,Cantalupo nel Sannio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Achille Caranci (Cantalupo unita) dal 6-6-2016
Territorio,Territorio
Coordinate,41°31′N 14°24′E
Altitudine,587 m s.l.m.
Superficie,"15,64 km²"
Abitanti,720[1] (30-11-2025)
Densità,"46,04 ab./km²"
Frazioni,"Aia Franca, Cese, Colle Manieri, Colle Piano, Le Coste, Fragnete Primo, Fragnete Secondo, Santa Lucia, Taverna, Tratturo"
Comuni confinanti,"Macchiagodena, Roccamandolfi, San Massimo (CB), Santa Maria del Molise"
Altre informazioni,Altre informazioni
Cod. postale,86092
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094005
Cod. catastale,B630
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 131 GG[3]"
Nome abitanti,cantalupesi
Patrono,San Salvatore
Giorno festivo,6 agosto
Cartografia,Cartografia
Cantalupo nel Sannio,Cantalupo nel Sannio
Cantalupo nel Sannio – MappaPosizione del comune di Cantalupo nel Sannio nella provincia di Isernia,Cantalupo nel Sannio – MappaPosizione del comune di Cantalupo nel Sannio nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
