Lubriano comune,Lubriano comune.1
,
Lubriano – Veduta,Lubriano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Valentino Gasparri (lista civica Per Lubriano) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°38′13″N 12°06′34″E
Altitudine,441 m s.l.m.
Superficie,"16,61 km²"
Abitanti,840[1] (30-11-2025)
Densità,"50,57 ab./km²"
Comuni confinanti,"Bagnoregio, Castiglione in Teverina, Orvieto (TR), Porano (TR)"
Altre informazioni,Altre informazioni
Cod. postale,01020
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056033
Cod. catastale,E713
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 203 GG[3]"
Nome abitanti,lubrianesi
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Lubriano,Lubriano
Lubriano – MappaPosizione del comune di Lubriano nella provincia di Viterbo,Lubriano – MappaPosizione del comune di Lubriano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
