Monterosi comune,Monterosi comune.1
,
Monterosi – Veduta,Monterosi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Sandro Giglietti (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°11′48″N 12°18′33″E
Altitudine,276 m s.l.m.
Superficie,"10,68 km²"
Abitanti,4 792[1] (30-11-2025)
Densità,"448,69 ab./km²"
Comuni confinanti,"Nepi, Sutri, Trevignano Romano (RM)"
Altre informazioni,Altre informazioni
Cod. postale,01030
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056038
Cod. catastale,F606
Targa,VT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona D, 1 911 GG[3]"
Nome abitanti,monterosolini
Patrono,santi Vincenzo e Anastasio
Giorno festivo,14 settembre e 22 gennaio
Cartografia,Cartografia
Monterosi,Monterosi
Monterosi – MappaPosizione del comune di Monterosi nella provincia di Viterbo,Monterosi – MappaPosizione del comune di Monterosi nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
