Provincia di Viterbo provincia,Provincia di Viterbo provincia.1
(dettagli),(dettagli)
"Provincia di Viterbo – VedutaLa scultura di uno dei leoni di Piazza del Plebiscito di Viterbo, simbolo della città.","Provincia di Viterbo – VedutaLa scultura di uno dei leoni di Piazza del Plebiscito di Viterbo, simbolo della città."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Amministrazione,Amministrazione
Capoluogo,Viterbo
Presidente,Alessandro Romoli (FI) dal 19-12-2021 (2º mandato dal 21-12-2025)
Data di istituzione,1300
Territorio,Territorio
Coordinate del capoluogo,42°25′07″N 12°06′15″E
Superficie,"3 615,24 km²"
Abitanti,307 784[1] (31-10-2025)
Densità,"85,14 ab./km²"
Comuni,60 comuni
Province confinanti,"Grosseto, Siena, Terni, Rieti, Roma"
Altre informazioni,Altre informazioni
Cod. postale,"01100, 01010-01039"
Prefisso,"0761, 0763, 0766, 06"
Fuso orario,UTC+1
ISO 3166-2,IT-VT
Codice ISTAT,056
Targa,VT
Nome abitanti,viterbesi
Cartografia,Cartografia
Provincia di Viterbo – Localizzazione,Provincia di Viterbo – Localizzazione
Provincia di Viterbo – MappaPosizione della provincia di Viterbo all'interno del Lazio.,Provincia di Viterbo – MappaPosizione della provincia di Viterbo all'interno del Lazio.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
