Vejano comune,Vejano comune.1
,
Vejano – VedutaVeduta aerea,Vejano – VedutaVeduta aerea
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Teresa Pasquali (Tradizione e innovazione) dal 27-5-2019
Territorio,Territorio
Coordinate,42°13′05″N 12°05′47″E
Altitudine,390 m s.l.m.
Superficie,"44,31 km²"
Abitanti,2 140[1] (30-11-2025)
Densità,"48,3 ab./km²"
Comuni confinanti,"Barbarano Romano, Bassano Romano, Blera, Canale Monterano (RM), Capranica, Oriolo Romano, Tolfa (RM)"
Altre informazioni,Altre informazioni
Cod. postale,01010
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056056
Cod. catastale,L713
Targa,VT
Cl. sismica,zona 2B (sismicità media) zona 3A (sismicità bassa)[2]
Cl. climatica,"zona E, 2 113 GG[3]"
Nome abitanti,vejanesi
Patrono,sant'Orsio
Giorno festivo,29 gennaio e ultimo lunedì di agosto
Cartografia,Cartografia
Vejano,Vejano
Vejano – MappaPosizione del comune di Vejano nella provincia di Viterbo,Vejano – MappaPosizione del comune di Vejano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
