Ischia di Castro comune,Ischia di Castro comune.1
,
Ischia di Castro – Veduta,Ischia di Castro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Salvatore Serra (lista civica) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°32′42″N 11°45′25″E
Altitudine,384 m s.l.m.
Superficie,"104,95 km²"
Abitanti,2 119[1] (30-11-2025)
Densità,"20,19 ab./km²"
Comuni confinanti,"Canino, Cellere, Farnese, Manciano (GR), Pitigliano (GR), Valentano"
Altre informazioni,Altre informazioni
Cod. postale,01010
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056031
Cod. catastale,E330
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 102 GG[3]"
Nome abitanti,ischiani
Patrono,sant'Ermete
Giorno festivo,28 agosto
Cartografia,Cartografia
Ischia di Castro,Ischia di Castro
Ischia di Castro – MappaPosizione del comune di Ischia di Castro nella provincia di Viterbo,Ischia di Castro – MappaPosizione del comune di Ischia di Castro nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
