Arlena di Castro comune,Arlena di Castro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Publio Cascianelli (centro-sinistra) dal 5-6-2016 (2º mandato)
Territorio,Territorio
Coordinate,42°27′49″N 11°49′17″E
Altitudine,260 m s.l.m.
Superficie,"21,87 km²"
Abitanti,788[1] (30-11-2025)
Densità,"36,03 ab./km²"
Comuni confinanti,"Cellere, Piansano, Tessennano, Tuscania"
Altre informazioni,Altre informazioni
Cod. postale,01010
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056002
Cod. catastale,A412
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 883 GG[3]"
Nome abitanti,arlenesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Arlena di Castro,Arlena di Castro
Arlena di Castro – MappaPosizione del comune di Arlena di Castro nella provincia di Viterbo,Arlena di Castro – MappaPosizione del comune di Arlena di Castro nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
