Oriolo Romano comune,Oriolo Romano comune.1
,
"Oriolo Romano – VedutaPalazzo Santacroce Altieri, Piazza Giorgio Santacroce","Oriolo Romano – VedutaPalazzo Santacroce Altieri, Piazza Giorgio Santacroce"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Emanuele Rallo (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,42°09′28.08″N 12°08′16.08″E
Altitudine,420 m s.l.m.
Superficie,"19,32 km²"
Abitanti,3 677[1] (30-11-2025)
Densità,"190,32 ab./km²"
Comuni confinanti,"Bassano Romano, Bracciano (RM), Canale Monterano (RM), Manziana (RM), Vejano"
Altre informazioni,Altre informazioni
Cod. postale,01010
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,056041
Cod. catastale,G111
Targa,VT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona E, 2 166 GG[3]"
Nome abitanti,oriolesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Motto,In hoc consistit verus amor
Cartografia,Cartografia
Oriolo Romano,Oriolo Romano
Oriolo Romano – MappaPosizione del comune di Oriolo Romano nella provincia di Viterbo,Oriolo Romano – MappaPosizione del comune di Oriolo Romano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
