Marta comune,Marta comune.1
,
Marta – VedutaVeduta di Marta,Marta – VedutaVeduta di Marta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Maurizio Lacchini (centro-sinistra) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°32′04″N 11°55′33″E
Altitudine,315 m s.l.m.
Superficie,"33,54 km²"
Abitanti,3 206[1] (30-11-2025)
Densità,"95,59 ab./km²"
Comuni confinanti,"Capodimonte, Montefiascone, Tuscania, Viterbo"
Altre informazioni,Altre informazioni
Cod. postale,01010
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056034
Cod. catastale,E978
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 980 GG[3]"
Nome abitanti,martani
Patrono,santa Marta / san Biagio
Giorno festivo,29 luglio / 3 febbraio / 14 maggio
Cartografia,Cartografia
Marta,Marta
Marta – MappaPosizione del comune di Marta nella provincia di Viterbo,Marta – MappaPosizione del comune di Marta nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
