Calcata comune,Calcata comune.1
,
Calcata – Veduta,Calcata – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Cristian Di Giovanni (lista civica Impegno comune per Calcata) dal 9-6-2024
Territorio,Territorio
Coordinate,42°13′10.27″N 12°25′34.21″E
Altitudine,220 m s.l.m.
Superficie,"7,63 km²"
Abitanti,908[1] (30-11-2025)
Densità,119 ab./km²
Comuni confinanti,"Faleria, Magliano Romano (RM), Mazzano Romano (RM), Rignano Flaminio (RM)"
Altre informazioni,Altre informazioni
Cod. postale,01030
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056010
Cod. catastale,B388
Targa,VT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 727 GG[3]"
Nome abitanti,calcatesi
Patrono,santi Cornelio e Cipriano
Giorno festivo,16 settembre
Cartografia,Cartografia
Calcata,Calcata
Calcata – MappaPosizione del comune di Calcata nella provincia di Viterbo,Calcata – MappaPosizione del comune di Calcata nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
