Castel Sant'Elia comune,Castel Sant'Elia comune.1
,
Castel Sant'Elia – Veduta,Castel Sant'Elia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Vincenzo Girolami (lista civica) dall'11-6-2017
Territorio,Territorio
Coordinate,42°15′05″N 12°22′30″E
Altitudine,210 m s.l.m.
Superficie,"23,92 km²"
Abitanti,2 413[1] (30-11-2025)
Densità,"100,88 ab./km²"
Comuni confinanti,"Civita Castellana, Fabrica di Roma, Faleria, Mazzano Romano (RM), Nepi"
Altre informazioni,Altre informazioni
Cod. postale,01030
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056017
Cod. catastale,C269
Targa,VT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 794 GG[3]"
Nome abitanti,castellesi
Patrono,sant'Anastasio e San Nonnoso (compatrono)
Giorno festivo,3 settembre
Cartografia,Cartografia
Castel Sant'Elia,Castel Sant'Elia
Castel Sant'Elia – MappaPosizione del comune di Castel Sant'Elia nella provincia di Viterbo,Castel Sant'Elia – MappaPosizione del comune di Castel Sant'Elia nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
